press,title,nlink,date
세계일보,"LG생활건강 ‘에어 칫솔’, 레드닷 ‘베스트 오브 베스트’ 선정",https://n.news.naver.com/mnews/article/022/0003977987,2시간 전
연합뉴스,"삼성증권, LG생활건강 투자의견 '중립'…""실적 개선 불투명""",https://n.news.naver.com/mnews/article/001/0014988218,1일 전
뉴시스,"알리익스프레스, 'LG그룹 데이' 행사…LG생활건강·LG전자 참여",https://n.news.naver.com/mnews/article/003/0012836904,4일 전
뉴스1,"LG생활건강 '엘지럭키페스타'…""최대 70% 역대급 할인""",https://n.news.naver.com/mnews/article/421/0007832383,1주 전
연합뉴스,"[특징주] LG생활건강, 3분기 실적 악화 전망에 4% 하락",https://n.news.naver.com/mnews/article/001/0014969875,1주 전
스포츠서울,"LG생활건강 ‘에어 칫솔’, 레드닷 ‘베스트 오브 베스트’ 선정",https://n.news.naver.com/mnews/article/468/0001101259,4시간 전
