press,title,nlink,date
머니투데이,"""네이버가 또 해냈다""...세계 최고 AI 학회에 논문 4건 채택",https://n.news.naver.com/mnews/article/008/0005102361,2시간 전
매일경제,Naver Webtoon partners with Duolingo to expand content in North America,https://n.news.naver.com/mnews/article/009/0005380688,1일 전
이데일리,"네이버, 자사주 취득·소각으로 주가하방성 확보…AI까지-KB",https://n.news.naver.com/mnews/article/018/0005861918,5시간 전
이데일리,"NAVER, 계속되는 이익 성장에도 커지는 불안감-SK",https://n.news.naver.com/mnews/article/018/0005855667,7일 전
이데일리,"코스피, 개인·기관 사자에 상승",https://n.news.naver.com/mnews/article/018/0005861985,3시간 전
