press,title,nlink,date
매일경제,“유럽 중심부에 한국 공장이 몇개야?”...현대모비스도 ‘이 나라’ 뚫...,https://n.news.naver.com/mnews/article/009/0005380523,1일 전
한국경제,"""中 추격 따돌릴 수 있다""…파리 간 현대모비스의 자신감",https://n.news.naver.com/mnews/article/015/0005045452,21시간 전
중앙일보,"현대모비스, 슬로바키아에 전기차 구동시스템 공장 신축",https://n.news.naver.com/mnews/article/025/0003393842,1일 전
조선비즈,"한투證 “현대모비스, 실적 개선 본격화… 목표가 30만원으로 상향”",https://n.news.naver.com/mnews/article/366/0001025137,4시간 전
뉴시스,"삼성證 ""현대모비스, 실적 부진 시대 마침표 기대""",https://n.news.naver.com/mnews/article/003/0012844804,1일 전
연합뉴스,"현대모비스, 슬로바키아에 PE시스템 공장 설립…3천500억원 투입",https://n.news.naver.com/mnews/article/001/0014986344,2일 전
마이데일리,"현대모비스, 울산 태화강 수면 위에 ‘별까루’ 띄운다",https://m.sports.naver.com/basketball/article/117/0003879932,1일 전
머니S,"유럽차 줄 세운 현대모비스… ""전동화로 EU공략""",https://n.news.naver.com/mnews/article/417/0001033271,6시간 전
이데일리,"현대모비스, 슬로바키아에 PE시스템 공장 짓는다…전동화로 유럽 공략",https://n.news.naver.com/mnews/article/018/0005860193,2일 전
SBS Biz,"현대모비스, 파리에서 은밀한 공개",https://n.news.naver.com/mnews/article/374/0000406331,22시간 전
