press,title,nlink,date
지디넷코리아,"LG화학, 바이오 원료 '3HP' 상용화 도전…기능성 화장품 개발 착수",https://n.news.naver.com/mnews/article/092/0002348902,1일 전
연합뉴스,"LG화학, 기능성 화장품 신원료 개발 착수…첫 상용화 추진",https://n.news.naver.com/mnews/article/001/0014988245,1일 전
뉴시스,"LG화학, 바이오 기반 화장품 新원료 개발 나서…첫 상용화 추진",https://n.news.naver.com/mnews/article/003/0012844812,1일 전
전자신문,[반도체 한계를 넘다] LG화학 “내년 3㎛ 낸드용 DAF 양산 목표…HBM NCF ...,https://n.news.naver.com/mnews/article/030/0003248459,4면 2단
