press,title,nlink,date
이코노미스트,"현대차, 배터리 개발 기술인력 신규 채용…오는 31일까지",https://n.news.naver.com/mnews/article/243/0000066430,2시간 전
노컷뉴스,"현대차, 배터리 개발 기술인력 신규 채용",https://n.news.naver.com/mnews/article/079/0003949167,2시간 전
부산일보,"젊어진 현대차, 늙어진 SK하이닉스",https://n.news.naver.com/mnews/article/082/0001293359,14면 1단
한국경제TV,"현대차, 상품성 개선한 '더 뉴 캐스퍼' 출시…1450만원부터",https://n.news.naver.com/mnews/article/215/0001183931,1일 전
뉴시스,현대차·기아 공장 멈출까…계열사 파업에 '부품 차질',https://n.news.naver.com/mnews/article/003/0012845590,1일 전
한국경제,"현대차, 도요타와 협업 속도…휴머노이드 공동 개발한다",https://n.news.naver.com/mnews/article/015/0005045599,A11면 1단
연합뉴스,"NH투자 ""현대차, 도요타 로봇 협업으로 기업가치↑ 효과""",https://n.news.naver.com/mnews/article/001/0014991490,4시간 전
매일경제,[단독] “왜 현대차가 중국 전기차를?”…울산공장에 전시하는 사연은,https://n.news.naver.com/mnews/article/009/0005381026,18시간 전
조선일보,히트펌프가 뭐길래… 삼성·LG에 현대차도 ‘법석’,https://n.news.naver.com/mnews/article/023/0003864788,B3면 1단
뉴시스,"현대차·기아, 세계 최초 프레스 금형 설계 자동화 개발",https://n.news.naver.com/mnews/article/003/0012842569,2일 전
연합뉴스,현대차 인도법인 IPO에 기관들 큰 관심…청약률 200% 넘어,https://n.news.naver.com/mnews/article/001/0014992117,53분 전
